"","MSA","is_male","estimate","population","perc"
"1","Atlanta-Sandy Springs-Alpharetta, GA",0,1530085,2176514,0.702998005066818
"2","Atlanta-Sandy Springs-Alpharetta, GA",1,1290215,1957934,0.658967564790233
"3","Boston-Cambridge-Newton, MA-NH",0,1308637,1793971,0.72946385420946
"4","Boston-Cambridge-Newton, MA-NH",1,1160943,1670370,0.695021462310746
"5","Chicago-Naperville-Elgin, IL-IN-WI",0,2299305,3373183,0.681642531697806
"6","Chicago-Naperville-Elgin, IL-IN-WI",1,2051654,3180764,0.645019246948217
"7","Dallas-Fort Worth-Arlington, TX",0,1733676,2606730,0.665076935470877
"8","Dallas-Fort Worth-Arlington, TX",1,1590344,2481065,0.640992477020957
"9","Detroit-Warren-Dearborn, MI",0,1040606,1587568,0.655471765618859
"10","Detroit-Warren-Dearborn, MI",1,940155,1475296,0.637265335227643
"11","Houston-The Woodlands-Sugar Land, TX",0,1504551,2379224,0.632370470371852
"12","Houston-The Woodlands-Sugar Land, TX",1,1374432,2295838,0.598662449179777
"13","Los Angeles-Long Beach-Anaheim, CA",0,2941469,4643175,0.633503798586097
"14","Los Angeles-Long Beach-Anaheim, CA",1,2720045,4452978,0.61083728686735
"15","Miami-Fort Lauderdale-Pompano Beach, FL",0,1409936,2276874,0.619241995824099
"16","Miami-Fort Lauderdale-Pompano Beach, FL",1,1264629,2122426,0.595841268435272
"17","New York-Newark-Jersey City, NY-NJ-PA",0,4751895,7266010,0.653989603647669
"18","New York-Newark-Jersey City, NY-NJ-PA",1,4263567,6662609,0.639924540071314
"19","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,1516736,2276025,0.666396898100856
"20","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,1328787,2078766,0.639219132889416
"21","Phoenix-Mesa-Chandler, AZ",0,1162976,1704303,0.682376314540314
"22","Phoenix-Mesa-Chandler, AZ",1,1088132,1656772,0.656778361778205
"23","Riverside-San Bernardino-Ontario, CA",0,871486,1529961,0.569613212362929
"24","Riverside-San Bernardino-Ontario, CA",1,790797,1501529,0.526661156727576
"25","San Francisco-Oakland-Berkeley, CA",0,1286800,1713461,0.750994624330522
"26","San Francisco-Oakland-Berkeley, CA",1,1225043,1666647,0.735034473406786
"27","Seattle-Tacoma-Bellevue, WA",0,1082528,1418139,0.763344072760145
"28","Seattle-Tacoma-Bellevue, WA",1,1053442,1429189,0.737090755666325
"29","Washington-Arlington-Alexandria, DC-VA-MD-WV",0,1682529,2255259,0.746046906364191
"30","Washington-Arlington-Alexandria, DC-VA-MD-WV",1,1554989,2114167,0.735509068110514
