"","MSA","min","max","perc"
"1","Atlanta-Sandy Springs-Alpharetta, GA",1e+05,124999,0.100172032095094
"2","Atlanta-Sandy Springs-Alpharetta, GA",35000,39999,0.0341776576060755
"3","Atlanta-Sandy Springs-Alpharetta, GA",50000,59999,0.0673581613378284
"4","Atlanta-Sandy Springs-Alpharetta, GA",0,10000,0.049255274026315
"5","Atlanta-Sandy Springs-Alpharetta, GA",30000,34999,0.0379427806674213
"6","Atlanta-Sandy Springs-Alpharetta, GA",125000,149999,0.0760269455477584
"7","Atlanta-Sandy Springs-Alpharetta, GA",45000,49999,0.0336608587905415
"8","Atlanta-Sandy Springs-Alpharetta, GA",40000,44999,0.0360613168402648
"9","Atlanta-Sandy Springs-Alpharetta, GA",2e+05,5e+05,0.112738102869748
"10","Atlanta-Sandy Springs-Alpharetta, GA",75000,99999,0.137474192990329
"11","Atlanta-Sandy Springs-Alpharetta, GA",10000,14999,0.0287725654911872
"12","Atlanta-Sandy Springs-Alpharetta, GA",20000,24999,0.0325003666329745
"13","Atlanta-Sandy Springs-Alpharetta, GA",25000,29999,0.0334676629716503
"14","Atlanta-Sandy Springs-Alpharetta, GA",150000,199999,0.0898720604597534
"15","Atlanta-Sandy Springs-Alpharetta, GA",60000,74999,0.099630205639386
"16","Atlanta-Sandy Springs-Alpharetta, GA",15000,19999,0.0308898160336723
"17","Boston-Cambridge-Newton, MA-NH",0,10000,0.0504161111574035
"18","Boston-Cambridge-Newton, MA-NH",125000,149999,0.0810161653195567
"19","Boston-Cambridge-Newton, MA-NH",45000,49999,0.0225564536288643
"20","Boston-Cambridge-Newton, MA-NH",60000,74999,0.0732246271144071
"21","Boston-Cambridge-Newton, MA-NH",20000,24999,0.0274076118656779
"22","Boston-Cambridge-Newton, MA-NH",40000,44999,0.0269909799183401
"23","Boston-Cambridge-Newton, MA-NH",150000,199999,0.119282768102658
"24","Boston-Cambridge-Newton, MA-NH",10000,14999,0.0352345637863511
"25","Boston-Cambridge-Newton, MA-NH",35000,39999,0.0244000499958337
"26","Boston-Cambridge-Newton, MA-NH",25000,29999,0.0257447296058662
"27","Boston-Cambridge-Newton, MA-NH",1e+05,124999,0.100396841929839
"28","Boston-Cambridge-Newton, MA-NH",2e+05,5e+05,0.202575827014415
"29","Boston-Cambridge-Newton, MA-NH",75000,99999,0.111404778768436
"30","Boston-Cambridge-Newton, MA-NH",30000,34999,0.0229376718606783
"31","Boston-Cambridge-Newton, MA-NH",50000,59999,0.0510129364219648
"32","Boston-Cambridge-Newton, MA-NH",15000,19999,0.0253978835097075
"33","Chicago-Naperville-Elgin, IL-IN-WI",40000,44999,0.0339116873945624
"34","Chicago-Naperville-Elgin, IL-IN-WI",10000,14999,0.0311722159014128
"35","Chicago-Naperville-Elgin, IL-IN-WI",2e+05,5e+05,0.12213520211333
"36","Chicago-Naperville-Elgin, IL-IN-WI",50000,59999,0.0635682712804216
"37","Chicago-Naperville-Elgin, IL-IN-WI",150000,199999,0.0909855994524871
"38","Chicago-Naperville-Elgin, IL-IN-WI",125000,149999,0.0740820659020667
"39","Chicago-Naperville-Elgin, IL-IN-WI",0,10000,0.0620763423001643
"40","Chicago-Naperville-Elgin, IL-IN-WI",15000,19999,0.0320407822982463
"41","Chicago-Naperville-Elgin, IL-IN-WI",35000,39999,0.0318988365351502
"42","Chicago-Naperville-Elgin, IL-IN-WI",1e+05,124999,0.103995296445961
"43","Chicago-Naperville-Elgin, IL-IN-WI",30000,34999,0.0350230055666715
"44","Chicago-Naperville-Elgin, IL-IN-WI",25000,29999,0.0329771884167898
"45","Chicago-Naperville-Elgin, IL-IN-WI",20000,24999,0.0340996769848431
"46","Chicago-Naperville-Elgin, IL-IN-WI",75000,99999,0.127098672194106
"47","Chicago-Naperville-Elgin, IL-IN-WI",45000,49999,0.0310171926016016
"48","Chicago-Naperville-Elgin, IL-IN-WI",60000,74999,0.0939179646121856
"49","Dallas-Fort Worth-Arlington, TX",150000,199999,0.088005112637351
"50","Dallas-Fort Worth-Arlington, TX",2e+05,5e+05,0.112329619879784
"51","Dallas-Fort Worth-Arlington, TX",10000,14999,0.0294290371293655
"52","Dallas-Fort Worth-Arlington, TX",15000,19999,0.0267070441877942
"53","Dallas-Fort Worth-Arlington, TX",50000,59999,0.0723763893725951
"54","Dallas-Fort Worth-Arlington, TX",0,10000,0.0476687163275867
"55","Dallas-Fort Worth-Arlington, TX",1e+05,124999,0.100650289119219
"56","Dallas-Fort Worth-Arlington, TX",75000,99999,0.129486776373581
"57","Dallas-Fort Worth-Arlington, TX",40000,44999,0.0391696264785547
"58","Dallas-Fort Worth-Arlington, TX",35000,39999,0.0392362486834183
"59","Dallas-Fort Worth-Arlington, TX",125000,149999,0.0755862401529561
"60","Dallas-Fort Worth-Arlington, TX",25000,29999,0.0325581657673256
"61","Dallas-Fort Worth-Arlington, TX",45000,49999,0.0339452471225552
"62","Dallas-Fort Worth-Arlington, TX",30000,34999,0.0378660872532335
"63","Dallas-Fort Worth-Arlington, TX",20000,24999,0.0333886520882712
"64","Dallas-Fort Worth-Arlington, TX",60000,74999,0.101596747426409
"65","Detroit-Warren-Dearborn, MI",0,10000,0.0667616518325753
"66","Detroit-Warren-Dearborn, MI",15000,19999,0.0351778528086075
"67","Detroit-Warren-Dearborn, MI",125000,149999,0.0659182653973436
"68","Detroit-Warren-Dearborn, MI",1e+05,124999,0.094834940067846
"69","Detroit-Warren-Dearborn, MI",75000,99999,0.127484338529859
"70","Detroit-Warren-Dearborn, MI",20000,24999,0.0392254257140795
"71","Detroit-Warren-Dearborn, MI",2e+05,5e+05,0.0844415093889256
"72","Detroit-Warren-Dearborn, MI",30000,34999,0.0426961541237562
"73","Detroit-Warren-Dearborn, MI",35000,39999,0.0434804353101576
"74","Detroit-Warren-Dearborn, MI",10000,14999,0.0356927504570711
"75","Detroit-Warren-Dearborn, MI",45000,49999,0.0352574175666483
"76","Detroit-Warren-Dearborn, MI",60000,74999,0.0951520624606083
"77","Detroit-Warren-Dearborn, MI",25000,29999,0.0380967427893017
"78","Detroit-Warren-Dearborn, MI",40000,44999,0.0430121398771179
"79","Detroit-Warren-Dearborn, MI",150000,199999,0.0806508169879852
"80","Detroit-Warren-Dearborn, MI",50000,59999,0.0721174966881169
"81","Houston-The Woodlands-Sugar Land, TX",45000,49999,0.0336972269942235
"82","Houston-The Woodlands-Sugar Land, TX",125000,149999,0.0665599036826695
"83","Houston-The Woodlands-Sugar Land, TX",35000,39999,0.0407384328675202
