County Code,County Title,MSA Code,MSA Title,MSA Type
48059,"Callahan County, Texas",C1018,"Abilene, TX",Metro
48253,"Jones County, Texas",C1018,"Abilene, TX",Metro
48441,"Taylor County, Texas",C1018,"Abilene, TX",Metro
72003,"Aguada Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR",Metro
72005,"Aguadilla Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR",Metro
72011,"Añasco Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR",Metro
72071,"Isabela Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR",Metro
72081,"Lares Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR",Metro
72099,"Moca Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR",Metro
72117,"Rincón Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR",Metro
72131,"San Sebastián Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR",Metro
72141,"Utuado Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR",Metro
39133,"Portage County, Ohio",C1042,"Akron, OH",Metro
39153,"Summit County, Ohio",C1042,"Akron, OH",Metro
13007,"Baker County, Georgia",C1050,"Albany, GA",Metro
13095,"Dougherty County, Georgia",C1050,"Albany, GA",Metro
13177,"Lee County, Georgia",C1050,"Albany, GA",Metro
13273,"Terrell County, Georgia",C1050,"Albany, GA",Metro
13321,"Worth County, Georgia",C1050,"Albany, GA",Metro
41043,"Linn County, Oregon",C1054,"Albany, OR",Metro
36001,"Albany County, New York",C1058,"Albany-Schenectady-Troy, NY",Metro
36083,"Rensselaer County, New York",C1058,"Albany-Schenectady-Troy, NY",Metro
36091,"Saratoga County, New York",C1058,"Albany-Schenectady-Troy, NY",Metro
36093,"Schenectady County, New York",C1058,"Albany-Schenectady-Troy, NY",Metro
36095,"Schoharie County, New York",C1058,"Albany-Schenectady-Troy, NY",Metro
35001,"Bernalillo County, New Mexico",C1074,"Albuquerque, NM",Metro
35043,"Sandoval County, New Mexico",C1074,"Albuquerque, NM",Metro
35057,"Torrance County, New Mexico",C1074,"Albuquerque, NM",Metro
35061,"Valencia County, New Mexico",C1074,"Albuquerque, NM",Metro
22043,"Grant Parish, Louisiana",C1078,"Alexandria, LA",Metro
22079,"Rapides Parish, Louisiana",C1078,"Alexandria, LA",Metro
34041,"Warren County, New Jersey",C1090,"Allentown-Bethlehem-Easton, PA-NJ",Metro
42025,"Carbon County, Pennsylvania",C1090,"Allentown-Bethlehem-Easton, PA-NJ",Metro
42077,"Lehigh County, Pennsylvania",C1090,"Allentown-Bethlehem-Easton, PA-NJ",Metro
42095,"Northampton County, Pennsylvania",C1090,"Allentown-Bethlehem-Easton, PA-NJ",Metro
42013,"Blair County, Pennsylvania",C1102,"Altoona, PA",Metro
48011,"Armstrong County, Texas",C1110,"Amarillo, TX",Metro
48065,"Carson County, Texas",C1110,"Amarillo, TX",Metro
48359,"Oldham County, Texas",C1110,"Amarillo, TX",Metro
48375,"Potter County, Texas",C1110,"Amarillo, TX",Metro
48381,"Randall County, Texas",C1110,"Amarillo, TX",Metro
19169,"Story County, Iowa",C1118,"Ames, IA",Metro
2020,"Anchorage Municipality, Alaska",C1126,"Anchorage, AK",Metro
2170,"Matanuska-Susitna Borough, Alaska",C1126,"Anchorage, AK",Metro
26161,"Washtenaw County, Michigan",C1146,"Ann Arbor, MI",Metro
1015,"Calhoun County, Alabama",C1150,"Anniston-Oxford-Jacksonville, AL",Metro
55015,"Calumet County, Wisconsin",C1154,"Appleton, WI",Metro
55087,"Outagamie County, Wisconsin",C1154,"Appleton, WI",Metro
72013,"Arecibo Municipio, Puerto Rico",C1164,"Arecibo, PR",Metro
72027,"Camuy Municipio, Puerto Rico",C1164,"Arecibo, PR",Metro
72065,"Hatillo Municipio, Puerto Rico",C1164,"Arecibo, PR",Metro
72115,"Quebradillas Municipio, Puerto Rico",C1164,"Arecibo, PR",Metro
37021,"Buncombe County, North Carolina",C1170,"Asheville, NC",Metro
37087,"Haywood County, North Carolina",C1170,"Asheville, NC",Metro
37089,"Henderson County, North Carolina",C1170,"Asheville, NC",Metro
37115,"Madison County, North Carolina",C1170,"Asheville, NC",Metro
13059,"Clarke County, Georgia",C1202,"Athens-Clarke County, GA",Metro
13195,"Madison County, Georgia",C1202,"Athens-Clarke County, GA",Metro
13219,"Oconee County, Georgia",C1202,"Athens-Clarke County, GA",Metro
13221,"Oglethorpe County, Georgia",C1202,"Athens-Clarke County, GA",Metro
13013,"Barrow County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13015,"Bartow County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13035,"Butts County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13045,"Carroll County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13057,"Cherokee County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13063,"Clayton County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13067,"Cobb County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13077,"Coweta County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13085,"Dawson County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13089,"DeKalb County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13097,"Douglas County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13113,"Fayette County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13117,"Forsyth County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13121,"Fulton County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13135,"Gwinnett County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13143,"Haralson County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13149,"Heard County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13151,"Henry County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13159,"Jasper County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13171,"Lamar County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13199,"Meriwether County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13211,"Morgan County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13217,"Newton County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13223,"Paulding County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13227,"Pickens County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13231,"Pike County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13247,"Rockdale County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13255,"Spalding County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
13297,"Walton County, Georgia",C1206,"Atlanta-Sandy Springs-Alpharetta, GA",Metro
34001,"Atlantic County, New Jersey",C1210,"Atlantic City-Hammonton, NJ",Metro
1081,"Lee County, Alabama",C1222,"Auburn-Opelika, AL",Metro
13033,"Burke County, Georgia",C1226,"Augusta-Richmond County, GA-SC",Metro
13073,"Columbia County, Georgia",C1226,"Augusta-Richmond County, GA-SC",Metro
13181,"Lincoln County, Georgia",C1226,"Augusta-Richmond County, GA-SC",Metro
13189,"McDuffie County, Georgia",C1226,"Augusta-Richmond County, GA-SC",Metro
13245,"Richmond County, Georgia",C1226,"Augusta-Richmond County, GA-SC",Metro
45003,"Aiken County, South Carolina",C1226,"Augusta-Richmond County, GA-SC",Metro
45037,"Edgefield County, South Carolina",C1226,"Augusta-Richmond County, GA-SC",Metro
48021,"Bastrop County, Texas",C1242,"Austin-Round Rock-Georgetown, TX",Metro
48055,"Caldwell County, Texas",C1242,"Austin-Round Rock-Georgetown, TX",Metro
48209,"Hays County, Texas",C1242,"Austin-Round Rock-Georgetown, TX",Metro
48453,"Travis County, Texas",C1242,"Austin-Round Rock-Georgetown, TX",Metro
48491,"Williamson County, Texas",C1242,"Austin-Round Rock-Georgetown, TX",Metro
6029,"Kern County, California",C1254,"Bakersfield, CA",Metro
24003,"Anne Arundel County, Maryland",C1258,"Baltimore-Columbia-Towson, MD",Metro
24005,"Baltimore County, Maryland",C1258,"Baltimore-Columbia-Towson, MD",Metro
24013,"Carroll County, Maryland",C1258,"Baltimore-Columbia-Towson, MD",Metro
24025,"Harford County, Maryland",C1258,"Baltimore-Columbia-Towson, MD",Metro
24027,"Howard County, Maryland",C1258,"Baltimore-Columbia-Towson, MD",Metro
24035,"Queen Anne's County, Maryland",C1258,"Baltimore-Columbia-Towson, MD",Metro
24510,"Baltimore City, Maryland",C1258,"Baltimore-Columbia-Towson, MD",Metro
23019,"Penobscot County, Maine",C1262,"Bangor, ME",Metro
25001,"Barnstable County, Massachusetts",C1270,"Barnstable Town, MA",Metro
22005,"Ascension Parish, Louisiana",C1294,"Baton Rouge, LA",Metro
22033,"East Baton Rouge Parish, Louisiana",C1294,"Baton Rouge, LA",Metro
22037,"East Feliciana Parish, Louisiana",C1294,"Baton Rouge, LA",Metro
22047,"Iberville Parish, Louisiana",C1294,"Baton Rouge, LA",Metro
22063,"Livingston Parish, Louisiana",C1294,"Baton Rouge, LA",Metro
22077,"Pointe Coupee Parish, Louisiana",C1294,"Baton Rouge, LA",Metro
22091,"St. Helena Parish, Louisiana",C1294,"Baton Rouge, LA",Metro
22121,"West Baton Rouge Parish, Louisiana",C1294,"Baton Rouge, LA",Metro
22125,"West Feliciana Parish, Louisiana",C1294,"Baton Rouge, LA",Metro
26025,"Calhoun County, Michigan",C1298,"Battle Creek, MI",Metro
26017,"Bay County, Michigan",C1302,"Bay City, MI",Metro
48199,"Hardin County, Texas",C1314,"Beaumont-Port Arthur, TX",Metro
