MSA,Month,Temp
"Atlanta-Sandy Springs-Alpharetta, GA",1,43
"Atlanta-Sandy Springs-Alpharetta, GA",2,47
"Atlanta-Sandy Springs-Alpharetta, GA",3,54
"Atlanta-Sandy Springs-Alpharetta, GA",4,61
"Atlanta-Sandy Springs-Alpharetta, GA",5,68.5
"Atlanta-Sandy Springs-Alpharetta, GA",6,76
"Atlanta-Sandy Springs-Alpharetta, GA",7,79
"Atlanta-Sandy Springs-Alpharetta, GA",8,78
"Atlanta-Sandy Springs-Alpharetta, GA",9,72.5
"Atlanta-Sandy Springs-Alpharetta, GA",10,62
"Atlanta-Sandy Springs-Alpharetta, GA",11,52.5
"Atlanta-Sandy Springs-Alpharetta, GA",12,45
"Boston-Cambridge-Newton, MA-NH",1,29.5
"Boston-Cambridge-Newton, MA-NH",2,31.5
"Boston-Cambridge-Newton, MA-NH",3,38.5
"Boston-Cambridge-Newton, MA-NH",4,49
"Boston-Cambridge-Newton, MA-NH",5,58.5
"Boston-Cambridge-Newton, MA-NH",6,68
"Boston-Cambridge-Newton, MA-NH",7,74
"Boston-Cambridge-Newton, MA-NH",8,73
"Boston-Cambridge-Newton, MA-NH",9,65.5
"Boston-Cambridge-Newton, MA-NH",10,54.5
"Boston-Cambridge-Newton, MA-NH",11,45
"Boston-Cambridge-Newton, MA-NH",12,35
"Chicago-Naperville-Elgin, IL-IN-WI",1,24.5
"Chicago-Naperville-Elgin, IL-IN-WI",2,29.5
"Chicago-Naperville-Elgin, IL-IN-WI",3,39.5
"Chicago-Naperville-Elgin, IL-IN-WI",4,50
"Chicago-Naperville-Elgin, IL-IN-WI",5,60.5
"Chicago-Naperville-Elgin, IL-IN-WI",6,70
"Chicago-Naperville-Elgin, IL-IN-WI",7,75.5
"Chicago-Naperville-Elgin, IL-IN-WI",8,74.5
"Chicago-Naperville-Elgin, IL-IN-WI",9,67
"Chicago-Naperville-Elgin, IL-IN-WI",10,55.5
"Chicago-Naperville-Elgin, IL-IN-WI",11,43
"Chicago-Naperville-Elgin, IL-IN-WI",12,32
"Dallas-Fort Worth-Arlington, TX",1,46.5
"Dallas-Fort Worth-Arlington, TX",2,51
"Dallas-Fort Worth-Arlington, TX",3,59
"Dallas-Fort Worth-Arlington, TX",4,66.5
"Dallas-Fort Worth-Arlington, TX",5,74.5
"Dallas-Fort Worth-Arlington, TX",6,82.5
"Dallas-Fort Worth-Arlington, TX",7,86.5
"Dallas-Fort Worth-Arlington, TX",8,86.5
"Dallas-Fort Worth-Arlington, TX",9,79
"Dallas-Fort Worth-Arlington, TX",10,68.5
"Dallas-Fort Worth-Arlington, TX",11,57
"Dallas-Fort Worth-Arlington, TX",12,48.5
"Detroit-Warren-Dearborn, MI",1,26
"Detroit-Warren-Dearborn, MI",2,28.5
"Detroit-Warren-Dearborn, MI",3,37
"Detroit-Warren-Dearborn, MI",4,48.5
"Detroit-Warren-Dearborn, MI",5,60
"Detroit-Warren-Dearborn, MI",6,69
"Detroit-Warren-Dearborn, MI",7,74.5
"Detroit-Warren-Dearborn, MI",8,72
"Detroit-Warren-Dearborn, MI",9,65
"Detroit-Warren-Dearborn, MI",10,52.5
